time,SimNetwork.a.parkingLot.parkingOccupancy:vector
time,SimNetwork.a.parkingLot.parkingOccupancy:vector
100292.585515458802,2
101415.296920855929,1
102201.580227597204,0
104512.100971495688,1
105084.9695048836,2
105389.23819057506,3
105706.460390568709,4
106344.500222783609,3
106798.986515331368,2
107446.975484728178,1
107482.517452075308,0
108020.276067737127,1
109252.22596911258,2
109740.356866178478,1
111176.521071000425,0
114210.041138985344,1
115966.238074281608,2
116046.151931103814,1
116270.510406875679,2
118079.220920182297,1
118347.669926057804,0
120829.872127042747,1
122671.59859414044,0
131140.769517057232,1
131638.159090297168,2
133050.779999609827,1
133471.116452110059,0
134263.456276975126,1
134958.108619175198,2
135432.968645895009,3
135719.386839013398,4
136328.153999183698,3
136955.842310967629,2
136994.452726964793,1
137740.58042310404,0
138296.598139948917,1
140191.795398012371,0
145770.113522783653,1
147197.135411970788,2
147501.664216608244,3
147587.623623374697,2
147763.678498731972,3
148339.22879816644,4
148986.18964538055,3
149054.575330362467,4
149408.774664897506,3
149680.896722851098,2
150112.013578066611,1
151053.785475192626,0
151306.643535481258,1
152722.434489403048,0
160198.421835281266,1
162101.932861566003,0
168061.405929075855,1
170146.858554618192,0
170401.22474952664,1
171810.894735915567,2
172201.974686472106,3
172528.912360744252,4
172652.883285729553,3
173334.371593755914,2
174215.810315925658,1
174419.915388762745,0
181070.747932541262,1
182118.409291812758,2
183059.774166974782,1
183951.198782008412,0
188390.101634970635,1
189653.244795188101,2
190293.507828090034,1
191608.65837284672,0
191734.688444624105,1
192424.981967912212,2
193748.876425789483,1
194315.842137696599,0
199185.23614211151,1
199511.653831563138,2
200960.457930552611,1
200977.020130225945,2
201547.742287432131,1
202771.850339482381,0
207000.777011578841,1
208763.89295069537,0
209631.908703779836,1
211778.455823671028,0
213216.940700038208,1
215009.266352788184,0
216746.120404064891,1
218556.969806697288,0
218651.564614909514,1
220259.590275628897,2
220360.474634481589,1
221632.305407314687,0
222714.433254746878,1
224442.507750945198,2
224551.835982997021,1
224737.920714832108,2
226078.698096179796,1
226537.433022016789,0
231542.395207270819,1
232126.925162109464,2
233623.728833213909,1
233894.646913227952,0
234484.268650822434,1
236236.05992292681,0
237356.377684931592,1
239211.810098907008,0
249519.667216478427,1
249783.98835051099,2
251364.664614349566,1
251381.199790704037,0
252316.961020445674,1
253728.822241161922,0
257791.433046603115,1
258649.283527803512,2
259659.508311223418,1
260657.060034070859,2
260739.527410429081,1
261476.27774898935,2
262404.558196855558,1
263340.773899697735,0
264258.431476626721,1
264726.270503685,2
265282.403573819516,3
265796.869883268427,2
266626.569780935786,1
267026.182957613455,0
269510.000537160681,1
270955.034004115683,2
271102.075684204643,1
272994.586116407576,0
273248.016398686821,1
275126.494372382239,0
276226.34085527038,1
278300.736978786554,0
279027.461353663876,1
280773.027230206527,0
289494.801740433272,1
291385.043362878302,0
292571.830717885197,1
293853.889689481395,0
295410.200615349953,1
295929.652049034336,2
296989.205256873177,1
297641.522206128139,2
297804.101584616597,1
299657.486052250269,0
299802.601133910195,1
301508.467852093519,0
306389.973664967765,1
307682.507893155936,2
